,buyer-count,player-count,accumulated-hours-played,player-frac-of-buyer,avg-hours-played,std-hours-played
3DMark API Overhead feature test,17,0,0.0,0.0,0.0,0.0
3DMark Cloud Gate benchmark,17,0,0.0,0.0,0.0,0.0
3DMark Fire Strike benchmark,17,0,0.0,0.0,0.0,0.0
3DMark Ice Storm benchmark,17,0,0.0,0.0,0.0,0.0
3DMark Sky Diver benchmark,17,0,0.0,0.0,0.0,0.0
3DMark Vantage,1,1,21.0,1.0,21.0,0.0
3SwitcheD,1,0,0.0,0.0,0.0,0.0
4 Elements,4,4,59.4,1.0,14.85,15.258767971235423
404Sight,14,7,3.6999999999999997,0.5,0.5285714285714286,0.3988077469754306
500 Years Act 1,1,1,3.0,1.0,3.0,0.0
60 Seconds!,7,5,9.3,0.7142857142857143,1.86,1.033440854621105
7 Days to Die,103,98,4075.500000000001,0.9514563106796117,41.58673469387756,91.82419625618203
"7 Grand Steps, Step 1 What Ancients Begat",4,0,0.0,0.0,0.0,0.0
7 Wonders Ancient Alien Makeover,1,0,0.0,0.0,0.0,0.0
"7,62 High Calibre",1,0,0.0,0.0,0.0,0.0
8-Bit Adventures The Forgotten Journey Remastered Edition,1,0,0.0,0.0,0.0,0.0
8-Bit Commando,1,0,0.0,0.0,0.0,0.0
8BitBoy,26,8,27.2,0.3076923076923077,3.4,8.337351412254888
8BitMMO,49,27,12.299999999999997,0.5510204081632653,0.45555555555555544,0.5048482889658981
9 Clues 2 The Ward,1,1,5.1,1.0,5.1,0.0
9 Clues The Secret of Serpent Creek,5,4,11.2,0.8,2.8,1.7146428199482247
9.03m,2,1,0.3,0.5,0.3,0.0
911 First Responders,1,0,0.0,0.0,0.0,0.0
99 Levels To Hell,8,5,6.9,0.625,1.3800000000000001,2.268700068321064
99 Spirits,3,1,3.9,0.3333333333333333,3.9,0.0
A Bastard's Tale,1,0,0.0,0.0,0.0,0.0
A Bird Story,9,7,11.6,0.7777777777777778,1.657142857142857,0.667974906856894
A City Sleeps,1,0,0.0,0.0,0.0,0.0
A Druid's Duel,1,0,0.0,0.0,0.0,0.0
A Farewell to Dragons,1,0,0.0,0.0,0.0,0.0
A Game of Thrones - Genesis,15,13,79.2,0.8666666666666667,6.092307692307693,12.488091763653722
A Golden Wake,2,1,1.2,0.5,1.2,0.0
A New Beginning - Final Cut,15,3,21.799999999999997,0.2,7.266666666666666,3.924708057083141
A Story About My Uncle,11,4,13.6,0.36363636363636365,3.4,3.2598568475727068
A Valley Without Wind,10,6,6.699999999999999,0.6,1.1166666666666665,0.43550736694878844
A Valley Without Wind 2,10,2,0.6,0.2,0.3,0.282842712474619
A Vampyre Story,1,0,0.0,0.0,0.0,0.0
A Virus Named TOM,27,12,23.500000000000004,0.4444444444444444,1.9583333333333337,2.857989863628991
A Walk in the Dark,3,2,2.5,0.6666666666666666,1.25,1.2020815280171309
A Wizard's Lizard,2,0,0.0,0.0,0.0,0.0
A-Men 2,1,0,0.0,0.0,0.0,0.0
A-Train 8,3,1,0.1,0.3333333333333333,0.1,0.0
A.I.M. Racing,1,0,0.0,0.0,0.0,0.0
A.I.M.2 Clan Wars,1,0,0.0,0.0,0.0,0.0
A.R.E.S.,12,9,26.0,0.75,2.888888888888889,2.8068863730317104
A.R.E.S. Extinction Agenda EX,1,1,9.6,1.0,9.6,0.0
A.V.A - Alliance of Valiant Arms,63,27,109.1,0.42857142857142855,4.04074074074074,7.0285275435328165
ACE - Arena Cyber Evolution,35,11,6.4,0.3142857142857143,0.5818181818181819,0.8483138355799484
ACE COMBAT ASSAULT HORIZON Enhanced Edition,19,11,38.699999999999996,0.5789473684210527,3.5181818181818176,2.6701378922513275
AGFPRO Fantasy Side-Scroller Player,2,0,0.0,0.0,0.0,0.0
AI War Fleet Command,24,8,28.0,0.3333333333333333,3.5,3.4471520336151618
AION Free-to-Play,4,3,20.0,0.75,6.666666666666667,7.777746031681244
AKIBA'S TRIP Undead & Undressed,2,2,24.0,1.0,12.0,14.142135623730951
ALLTYNEX Second,3,0,0.0,0.0,0.0,0.0
APB Reloaded,262,138,9237.199999999999,0.5267175572519084,66.93623188405796,420.753446701563
APOX,1,1,0.4,1.0,0.4,0.0
AR-K,4,1,0.4,0.25,0.4,0.0
ARK Survival Evolved,163,158,13593.100000000004,0.9693251533742331,86.03227848101268,140.50821644220346
AVSEQ,3,0,0.0,0.0,0.0,0.0
AXEL,1,0,0.0,0.0,0.0,0.0
AXYOS,2,1,4.4,0.5,4.4,0.0
AZMD! Scorepocalypse ,3,1,1.1,0.3333333333333333,1.1,0.0
AaAaAA!!! - A Reckless Disregard for Gravity,8,5,22.4,0.625,4.4799999999999995,6.78837241170518
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,19,6,6.800000000000001,0.3157894736842105,1.1333333333333335,0.9070097390142329
Aarklash Legacy,1,0,0.0,0.0,0.0,0.0
Abandoned Chestnut Lodge Asylum,1,1,5.7,1.0,5.7,0.0
Abducted,1,1,0.2,1.0,0.2,0.0
Aberoth,5,4,1.4,0.8,0.35,0.20816659994661327
"About Love, Hate and the other ones",3,0,0.0,0.0,0.0,0.0
Absconding Zatwor,8,2,22.2,0.25,11.1,4.101219330881976
Absent,1,0,0.0,0.0,0.0,0.0
Absolute Drift,3,3,5.9,1.0,1.9666666666666668,1.4571661996262928
Abyss Odyssey,15,5,19.599999999999998,0.3333333333333333,3.9199999999999995,5.006695517005204
Abyss The Wraiths of Eden,2,1,6.8,0.5,6.8,0.0
Ace of Spades,75,71,521.2,0.9466666666666667,7.340845070422536,10.82204862392103
Aces Wild Manic Brawling Action!,5,2,0.7,0.4,0.35,0.21213203435596423
Achron,3,3,2.6,1.0,0.8666666666666667,0.9814954576223638
Act of Aggression,5,4,17.0,0.8,4.25,3.81444622455213
Act of War Direct Action,1,0,0.0,0.0,0.0,0.0
Act of War High Treason,1,0,0.0,0.0,0.0,0.0
Action! - Gameplay Recording and Streaming,3,3,269.0,1.0,89.66666666666667,36.46002377033418
Actual Sunlight,1,1,1.3,1.0,1.3,0.0
AdVenture Capitalist,222,141,6067.7,0.6351351351351351,43.03333333333333,114.54839754860117
Advent Rising,1,0,0.0,0.0,0.0,0.0
Adventure Chronicles The Search For Lost Treasure,1,1,0.7,1.0,0.7,0.0
Adventure Park,1,1,0.9,1.0,0.9,0.0
Adventure Time  Explore the Dungeon Because I DONT KNOW!,1,1,0.3,1.0,0.3,0.0
Adventurer Manager,2,1,21.0,0.5,21.0,0.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1,1,1.7,1.0,1.7,0.0
Adventures of Shuggy,19,6,9.3,0.3157894736842105,1.55,2.241205033012375
Aeon Command,3,3,1.3,1.0,0.43333333333333335,0.11547005383792514
Aerena,8,3,6.6,0.375,2.1999999999999997,2.8930952282978866
After All,1,0,0.0,0.0,0.0,0.0
Afterfall InSanity - Dirty Arena Edition,2,2,0.9,1.0,0.45,0.4949747468305833
Afterfall InSanity Extended Edition,67,31,57.699999999999996,0.4626865671641791,1.861290322580645,1.5776939752594263
Afterfall Reconquest Episode I,1,0,0.0,0.0,0.0,0.0
Afterlife Empire,1,1,0.2,1.0,0.2,0.0
Aftermath,81,54,275.5,0.6666666666666666,5.101851851851852,11.08673337296872
Agapan,1,0,0.0,0.0,0.0,0.0
Agarest - Additional-PP Pack 1 DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Additional-PP Pack 2 DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Additional-Points Pack 2 DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Additional-Points Pack 3 DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Additional-Points Pack 4 DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Additional-TP Pack DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Basic Adventure Pack DLC,4,0,0.0,0.0,0.0,0.0
Agarest - Carrot-and-Stick Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Dull-Things Pack DLC,4,0,0.0,0.0,0.0,0.0
Agarest - Fallen Angel Pack DLC,4,0,0.0,0.0,0.0,0.0
Agarest - Fishy Pack 1 DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Fishy Pack 2 DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Jack Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Legendary Adventure Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Legendary-Monster Pack DLC,4,0,0.0,0.0,0.0,0.0
Agarest - Magic Fight Pack DLC,4,0,0.0,0.0,0.0,0.0
Agarest - Playful Cat Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Rebellious Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Rumored Adventure Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Seasoned-Breeder Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Secret-Society Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Tonight's Dinner DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Top-Breeder Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Ultimate Equipment Pack DLC,2,0,0.0,0.0,0.0,0.0
Agarest - Unlock Gallery DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Unlock Voices DLC,1,0,0.0,0.0,0.0,0.0
Agarest - Upgrade Pack 1 DLC,3,0,0.0,0.0,0.0,0.0
Agarest 2 - Bundle #1,1,0,0.0,0.0,0.0,0.0
Agarest 2 - Bundle #2,1,0,0.0,0.0,0.0,0.0
Agarest 2 - Bundle #3,1,0,0.0,0.0,0.0,0.0
Agarest 2 - Bundle #4,1,0,0.0,0.0,0.0,0.0
Agarest 2 - Bundle #5,1,0,0.0,0.0,0.0,0.0
Agarest 2 - Bundle #6,1,0,0.0,0.0,0.0,0.0
Agarest Generations of War,12,8,125.49999999999999,0.6666666666666666,15.687499999999998,18.417417028454345
Agarest Generations of War 2,3,0,0.0,0.0,0.0,0.0
Agarest Generations of War Premium Edition Upgrade,3,0,0.0,0.0,0.0,0.0
Agarest Zero,5,3,31.8,0.6,10.6,9.147677300823418
Agarest Zero - DLC Pack 1,1,0,0.0,0.0,0.0,0.0
Agarest Zero - DLC Pack 2,1,0,0.0,0.0,0.0,0.0
Agarest Zero - DLC Pack 3,1,0,0.0,0.0,0.0,0.0
Agarest Zero - DLC Pack 4,1,0,0.0,0.0,0.0,0.0
Agarest Zero - DLC Pack 5,1,0,0.0,0.0,0.0,0.0
Agarest Zero - DLC Pack 7,1,0,0.0,0.0,0.0,0.0
Age of Booty,2,0,0.0,0.0,0.0,0.0
Age of Chivalry,58,58,970.0000000000001,1.0,16.724137931034484,62.97783043608902
Age of Conan - Hyborian Adventures,1,0,0.0,0.0,0.0,0.0
Age of Conan Rise of the Godslayer,2,1,4.6,0.5,4.6,0.0
Age of Conan Unchained - EU version,12,7,143.70000000000002,0.5833333333333334,20.528571428571432,33.402330970842655
Age of Empires II HD Edition,238,200,6858.499999999999,0.8403361344537815,34.2925,79.7813223173414
Age of Empires II HD The Forgotten,115,0,0.0,0.0,0.0,0.0
Age of Empires III Complete Collection,106,83,1422.1000000000001,0.7830188679245284,17.133734939759037,30.875929045401875
Age of Empires Online,29,8,665.5999999999999,0.27586206896551724,83.19999999999999,69.98271215093054
Age of Fear 2 The Chaos Lord,1,0,0.0,0.0,0.0,0.0
Age of Mythology Extended Edition,45,36,468.50000000000006,0.8,13.013888888888891,18.263877741562172
Age of Wonders,5,2,32.8,0.4,16.4,20.64751801064719
Age of Wonders 2,5,2,63.2,0.4,31.6,44.40630585851518
Age of Wonders III,36,32,1121.3000000000002,0.8888888888888888,35.040625000000006,41.05305661776343
Age of Wonders Shadow Magic,7,2,35.8,0.2857142857142857,17.9,2.6870057685088824
Age of Wonders Trilogy Soundtrack,3,0,0.0,0.0,0.0,0.0
Age of Wushu,4,0,0.0,0.0,0.0,0.0
Aggression Europe Under Fire,2,1,0.6,0.5,0.6,0.0
Agricultural Simulator 2011 Extended Edition,3,1,0.1,0.3333333333333333,0.1,0.0
Agricultural Simulator 2013 Steam Edition,7,3,69.6,0.42857142857142855,23.2,26.989627637298
Agricultural Simulator Historical Farming,7,0,0.0,0.0,0.0,0.0
Aion,17,4,41.4,0.23529411764705882,10.35,8.71951833532105
Aion Collectors Edition,1,1,22.0,1.0,22.0,0.0
Air Brawl,2,2,4.9,1.0,2.45,2.7577164466275357
Air Conflicts - Secret Wars,4,2,3.3,0.5,1.65,1.3435028842544403
Air Conflicts Pacific Carriers,8,3,7.6,0.375,2.533333333333333,2.939954648176283
Air Forte ,2,0,0.0,0.0,0.0,0.0
AirBuccaneers,13,5,3.9000000000000004,0.38461538461538464,0.78,0.8012490249604051
AirMech,75,43,521.3,0.5733333333333334,12.123255813953488,30.949350614075914
Airline Tycoon 2,7,5,31.0,0.7142857142857143,6.2,6.034484236453022
Airline Tycoon Deluxe,1,1,0.6,1.0,0.6,0.0
Airport Madness World Edition,1,1,9.0,1.0,9.0,0.0
Airport Simulator 2014,3,1,8.5,0.3333333333333333,8.5,0.0
Akane the Kunoichi,3,2,3.3,0.6666666666666666,1.65,1.7677669529663689
Akaneiro Demon Hunters,1,1,0.4,1.0,0.4,0.0
Akaneiro Early Access Starter Pack,1,0,0.0,0.0,0.0,0.0
Akuatica,1,1,0.4,1.0,0.4,0.0
Alan Wake,130,88,1045.0000000000005,0.676923076923077,11.875000000000005,46.23745371921752
Alan Wake's American Nightmare,85,24,82.59999999999998,0.2823529411764706,3.441666666666666,2.415514467960715
Albedo Eyes from Outer Space,3,0,0.0,0.0,0.0,0.0
Albino Lullaby Episode 1,1,1,1.5,1.0,1.5,0.0
Alchemy Mysteries Prague Legends,7,5,19.9,0.7142857142857143,3.9799999999999995,1.5073154945133418
Alex Hunter - Lord of the Mind,1,1,2.7,1.0,2.7,0.0
Alganon,7,1,0.5,0.14285714285714285,0.5,0.0
Alice Madness Returns,39,27,221.70000000000005,0.6923076923076923,8.211111111111112,8.654404540389706
Alien Breed 2 Assault,38,7,36.0,0.18421052631578946,5.142857142857143,5.833482991277493
Alien Breed 3 Descent,22,3,27.2,0.13636363636363635,9.066666666666666,9.735159646011633
Alien Breed Impact,32,5,42.9,0.15625,8.58,12.13206495201868
Alien Carnage / Halloween Harry,3,0,0.0,0.0,0.0,0.0
Alien Hallway,2,0,0.0,0.0,0.0,0.0
Alien Isolation,39,31,359.00000000000006,0.7948717948717948,11.580645161290324,17.581475466236967
Alien Rage - Unlimited,8,5,14.4,0.625,2.88,3.8596631977414813
Alien Shooter,4,0,0.0,0.0,0.0,0.0
Alien Shooter 2 Conscription,2,0,0.0,0.0,0.0,0.0
Alien Shooter 2 Reloaded,8,0,0.0,0.0,0.0,0.0
Alien Shooter Revisited,1,1,0.1,1.0,0.1,0.0
Alien Shooter Vengeance,3,3,13.299999999999999,1.0,4.433333333333333,4.300387579432036
Alien Spidy,3,0,0.0,0.0,0.0,0.0
Alien Swarm,289,289,1505.0000000000005,1.0,5.207612456747406,8.6621950107836
Alien Zombie Megadeath,1,0,0.0,0.0,0.0,0.0
Aliens Colonial Marines,25,22,219.2,0.88,9.963636363636363,14.63581860188169
Aliens versus Predator Classic 2000,16,10,17.300000000000004,0.625,1.7300000000000004,1.3474667590210405
Aliens vs. Predator,84,73,912.0000000000001,0.8690476190476191,12.493150684931509,20.896473179084573
All Is Dust,22,6,8.6,0.2727272727272727,1.4333333333333333,1.8726095873584183
All Zombies Must Die!,6,3,13.3,0.5,4.433333333333334,2.6727015047201457
Alone in the Dark,2,1,0.4,0.5,0.4,0.0
Alpha Kimori Episode One ,4,2,3.6,0.5,1.8,2.262741699796952
Alpha Prime,27,3,1.7000000000000002,0.1111111111111111,0.5666666666666668,0.20816659994661332
Alpha Protocol,31,15,52.8,0.4838709677419355,3.52,4.578864488058147
Alter Ego,1,0,0.0,0.0,0.0,0.0
Alter World,1,1,0.1,1.0,0.1,0.0
Altitude,32,13,70.9,0.40625,5.453846153846154,6.437470438070038
Alum,1,0,0.0,0.0,0.0,0.0
Always Sometimes Monsters,24,12,57.1,0.5,4.758333333333334,6.399496902574499
Always Sometimes Monsters - Soundtrack,1,0,0.0,0.0,0.0,0.0
Always Sometimes Monsters Demo,2,0,0.0,0.0,0.0,0.0
Amazing Adventures Around the World,1,1,12.0,1.0,12.0,0.0
Amazing Adventures The Lost Tomb,1,1,3.3,1.0,3.3,0.0
Amazing Princess Sarah,1,1,0.8,1.0,0.8,0.0
Amazing World,29,6,11.100000000000001,0.20689655172413793,1.8500000000000003,2.4679951377585816
Amazon's Jungle Bundle,2,0,0.0,0.0,0.0,0.0
America's Army 3,52,16,169.9,0.3076923076923077,10.61875,24.016583680171223
America's Army Proving Grounds,121,53,1431.2000000000003,0.4380165289256198,27.003773584905666,154.48996726482343
American Conquest,8,2,0.6,0.25,0.3,0.0
American Conquest - Fight Back,5,1,0.4,0.2,0.4,0.0
Amerzone The Explorer's Legacy,1,0,0.0,0.0,0.0,0.0
Amnesia A Machine for Pigs,39,25,110.2,0.6410256410256411,4.408,4.428216345211692
Amnesia Memories,2,2,9.8,1.0,4.9,1.555634918610405
Amnesia The Dark Descent,226,113,574.2999999999998,0.5,5.0823008849557505,6.776828036042267
Among Ripples,21,4,1.7000000000000002,0.19047619047619047,0.42500000000000004,0.5852349955359812
Among the Sleep,7,6,10.4,0.8571428571428571,1.7333333333333334,0.9157874571463984
Ampu-Tea,6,3,2.5999999999999996,0.5,0.8666666666666666,0.9073771725877465
Amygdala,1,0,0.0,0.0,0.0,0.0
An Alternative Reality The Football Manager Documentary,2,0,0.0,0.0,0.0,0.0
An Assassin in Orlandes,1,1,5.0,1.0,5.0,0.0
Anachronox,17,1,0.1,0.058823529411764705,0.1,0.0
Analogue A Hate Story,11,7,22.7,0.6363636363636364,3.242857142857143,3.314039399714062
Anarchy Arcade,27,10,13.8,0.37037037037037035,1.3800000000000001,1.391881220985948
Ancient Planet,1,1,2.5,1.0,2.5,0.0
Ancient Space,3,1,27.0,0.3333333333333333,27.0,0.0
And Yet It Moves,37,15,19.599999999999994,0.40540540540540543,1.3066666666666662,1.9760952358002337
Angels Fall First,3,3,15.2,1.0,5.066666666666666,4.244211744639202
Angels of Fasaria Version 2.0,2,1,9.9,0.5,9.9,0.0
Angry Birds Space,1,1,2.7,1.0,2.7,0.0
Angry Video Game Nerd Adventures,12,10,19.7,0.8333333333333334,1.97,2.0094498970835004
Angvik,1,1,0.3,1.0,0.3,0.0
Anna - Extended Edition,20,11,39.4,0.55,3.5818181818181816,3.9455844134470577
Anna's Quest,2,2,18.5,1.0,9.25,0.07071067811865576
Anno 1404,13,9,128.00000000000003,0.6923076923076923,14.222222222222225,15.880237543703318
Anno 1404 Venice,6,4,67.0,0.6666666666666666,16.75,15.339165557487147
Anno 2070,59,55,1618.1,0.9322033898305084,29.419999999999998,58.57783805426
Anno 2205,1,1,22.0,1.0,22.0,0.0
Anno Online,20,8,744.2,0.4,93.025,229.64275205507482
Anodyne,11,3,9.2,0.2727272727272727,3.0666666666666664,3.1785741037976973
Anomaly 2,21,5,7.6,0.23809523809523808,1.52,1.1366617790706257
Anomaly 2 Soundtrack,2,0,0.0,0.0,0.0,0.0
Anomaly Defenders,3,0,0.0,0.0,0.0,0.0
Anomaly Korea,9,1,0.9,0.1111111111111111,0.9,0.0
Anomaly Warzone Earth,62,37,77.50000000000001,0.5967741935483871,2.094594594594595,3.7361556256209205
Anomaly Warzone Earth Mobile Campaign,7,1,2.1,0.14285714285714285,2.1,0.0
Another Perspective,4,1,0.3,0.25,0.3,0.0
Another World,8,5,6.2,0.625,1.24,1.0114346246792227
Anoxemia,11,4,24.6,0.36363636363636365,6.15,2.6564387187862377
Antichamber,76,50,139.39999999999998,0.6578947368421053,2.7879999999999994,3.256556338169735
Antisquad,2,1,16.2,0.5,16.2,0.0
Antisquad - Skirmishes DLC,1,0,0.0,0.0,0.0,0.0
Antisquad Tasks in Mexico - final. Tactics DLC,1,0,0.0,0.0,0.0,0.0
Antisquad Tasks in Mexico - the beginning. Tactics FREE DLC,2,0,0.0,0.0,0.0,0.0
Antisquad Tasks in North Korea. Tactics DLC,1,0,0.0,0.0,0.0,0.0
Antisquad Tasks near the coast of Somalia. Tactics DLC,1,0,0.0,0.0,0.0,0.0
Aperture Tag The Paint Gun Testing Initiative,4,2,3.6,0.5,1.8,1.8384776310850237
Apollo4x,1,1,3.8,1.0,3.8,0.0
Apotheon,5,5,14.6,1.0,2.92,3.966358531449219
Apotheon Arena,11,7,6.300000000000001,0.6363636363636364,0.9000000000000001,1.0878112581387147
App Game Kit,4,0,0.0,0.0,0.0,0.0
Aqua Kitty - Milk Mine Defender,2,2,0.6000000000000001,1.0,0.30000000000000004,0.1414213562373095
AquaNox,10,2,0.8999999999999999,0.2,0.44999999999999996,0.21213203435596423
AquaNox 2 Revelation,10,0,0.0,0.0,0.0,0.0
Aquaria,28,7,30.0,0.25,4.285714285714286,10.459035738127517
Arcadia,2,1,0.6,0.5,0.6,0.0
Arcane Saga Online,16,0,0.0,0.0,0.0,0.0
Arcane Worlds,1,1,0.2,1.0,0.2,0.0
ArcaniA,30,10,59.7,0.3333333333333333,5.970000000000001,9.243261810037021
ArcaniA Fall of Setarrif,6,0,0.0,0.0,0.0,0.0
ArcheAge,76,40,1109.7000000000003,0.5263157894736842,27.742500000000007,100.68701922166328
ArcheAge Archeum Founders Pack,1,0,0.0,0.0,0.0,0.0
ArcheAge Gold Founders Pack,1,0,0.0,0.0,0.0,0.0
ArcheAge Silver Founders Pack,1,0,0.0,0.0,0.0,0.0
Archeblade,139,59,257.1,0.4244604316546763,4.357627118644068,8.360440579667344
ArchonClassic,2,1,1.3,0.5,1.3,0.0
Arctic Adventure,3,0,0.0,0.0,0.0,0.0
Arctic Combat,21,3,18.400000000000002,0.14285714285714285,6.133333333333334,9.597048157289477
Arena Wars 2,4,0,0.0,0.0,0.0,0.0
Arma 2,270,147,825.5,0.5444444444444444,5.615646258503402,14.028662931827528
Arma 2 British Armed Forces,48,3,0.7,0.0625,0.2333333333333333,0.05773502691896256
Arma 2 DayZ Mod,130,59,148.10000000000002,0.45384615384615384,2.5101694915254242,5.936639445158498
Arma 2 Free,20,6,3.2,0.3,0.5333333333333333,0.8189424074174366
Arma 2 Operation Arrowhead,250,189,9429.700000000003,0.756,49.89259259259261,104.30724025862426
Arma 2 Operation Arrowhead Beta (Obsolete),250,29,190.39999999999998,0.116,6.565517241379309,17.001959464007772
Arma 2 Private Military Company,48,7,5.4,0.14583333333333334,0.7714285714285715,0.7846746368491119
Arma 3,161,157,24055.7,0.9751552795031055,153.22101910828025,293.2105894194013
Arma 3 Helicopters,33,0,0.0,0.0,0.0,0.0
Arma 3 Karts,41,0,0.0,0.0,0.0,0.0
Arma 3 Marksmen,34,0,0.0,0.0,0.0,0.0
Arma 3 Zeus,161,0,0.0,0.0,0.0,0.0
Arma Cold War Assault,83,27,37.9,0.3253012048192771,1.4037037037037037,4.3393088320147415
Arma Combat Operations,4,3,99.2,0.75,33.06666666666667,56.23533883007493
Arma Gold Edition,24,0,0.0,0.0,0.0,0.0
Arma Tactics,22,5,9.7,0.22727272727272727,1.94,1.1304866208850062
Arma X Anniversary Edition,2,0,0.0,0.0,0.0,0.0
Armada 2526,3,3,1.7999999999999998,1.0,0.6,0.0
Armello,2,2,14.0,1.0,7.0,6.081118318204309
Armikrog,1,1,4.7,1.0,4.7,0.0
Arms Dealer,2,1,1.9,0.5,1.9,0.0
Arsenal of Democracy,2,0,0.0,0.0,0.0,0.0
Arson & Plunder Unleashed,1,0,0.0,0.0,0.0,0.0
ArtRage 4,1,0,0.0,0.0,0.0,0.0
ArtRage Studio Pro,1,1,9.3,1.0,9.3,0.0
Artemis Spaceship Bridge Simulator,4,3,8.5,0.75,2.8333333333333335,1.1676186592091324
Arx Fatalis,9,5,62.3,0.5555555555555556,12.459999999999999,23.892425577994377
Ascend Hand of Kul,38,11,62.29999999999999,0.2894736842105263,5.663636363636363,10.36023867748931
Ascendant,3,1,5.0,0.3333333333333333,5.0,0.0
Ashes of the Singularity,3,1,0.7,0.3333333333333333,0.7,0.0
Asphyxia,1,0,0.0,0.0,0.0,0.0
Assassin's Creed,51,36,415.40000000000003,0.7058823529411765,11.53888888888889,14.02964774586361
Assassin's Creed Brotherhood,58,39,976.4000000000001,0.6724137931034483,25.03589743589744,24.206670320165962
Assassin's Creed Freedom Cry,10,3,8.9,0.3,2.966666666666667,2.569695182961071
Assassin's Creed II,80,59,1646.1,0.7375,27.9,30.716164451648087
Assassin's Creed III,72,56,2545.3999999999996,0.7777777777777778,45.45357142857142,75.50297276335479
Assassin's Creed IV Black Flag,71,54,3230.3000000000006,0.7605633802816901,59.820370370370384,77.25738745803777
Assassin's Creed Liberation,3,0,0.0,0.0,0.0,0.0
Assassin's Creed Revelations,52,30,1145.1,0.5769230769230769,38.169999999999995,66.78432683156151
Assassin's Creed Rogue,2,1,62.0,0.5,62.0,0.0
Assassin's Creed Syndicate,3,3,96.4,1.0,32.13333333333333,14.51390138223811
Assassins Creed Chronicles China,7,2,9.6,0.2857142857142857,4.8,2.545584412271571
Assassins Creed Unity,21,17,343.0,0.8095238095238095,20.176470588235293,25.37785770636887
Assault Android Cactus,2,2,2.9,1.0,1.45,1.909188309203678
Assetto Corsa,19,18,283.29999999999995,0.9473684210526315,15.738888888888887,16.059673239987273
Assetto Corsa - Dream Pack 1,5,0,0.0,0.0,0.0,0.0
Astebreed,4,2,0.8,0.5,0.4,0.28284271247461895
Asteria,1,1,1.0,1.0,1.0,0.0
Asteroids Outpost,1,1,0.3,1.0,0.3,0.0
Astray,1,0,0.0,0.0,0.0,0.0
